logic,total_order_qty,total_order_amount,total_stock_value,avg_days_covered,stockout_risk,stockout_rate,overstock_risk,overstock_rate,optimal_count,optimal_rate,active_products,period
現行ロジック,71,27528,59446,16.2,0,0.0,3,20.0,7,46.7,15,2025年5月
Order-up-to（標準）,114,41820,73738,18.1,0,0.0,3,20.0,6,40.0,15,2025年5月
Order-up-to（保守的）,106,38835,70753,17.8,0,0.0,3,20.0,7,46.7,15,2025年5月
Order-up-to（積極的）,125,45386,77304,18.8,0,0.0,3,20.0,4,26.7,15,2025年5月
現行ロジック,64,27248,59166,11.1,0,0.0,0,0.0,13,76.5,17,2025年10月
Order-up-to（標準）,112,44478,76396,14.2,0,0.0,0,0.0,9,52.9,17,2025年10月
Order-up-to（保守的）,102,41238,73156,13.8,0,0.0,0,0.0,13,76.5,17,2025年10月
Order-up-to（積極的）,121,48077,79995,14.8,0,0.0,0,0.0,6,35.3,17,2025年10月
現行ロジック,42,14654,46572,13.9,0,0.0,1,9.1,9,81.8,11,2026年1月
Order-up-to（標準）,83,25606,57524,16.8,0,0.0,1,9.1,7,63.6,11,2026年1月
Order-up-to（保守的）,74,23570,55488,16.4,0,0.0,1,9.1,8,72.7,11,2026年1月
Order-up-to（積極的）,90,27170,59088,17.1,0,0.0,1,9.1,6,54.5,11,2026年1月
